EmployeeID|Name|Address|City|ZIP|Phone|Email|Role|HireDate|HourlyRate|OvertimeRate|Certifications|LicenseExpirations|Languages
11|Hannah Marquez|61857 Mendez Mission Apt. 050|Bellevue|98004|505.749.1477x44735|hannahmarquez@cobuilderav.com|Security Integration Specialist|2022-04-04|74.17|111.25|Crestron Certified Programmer|2025-04-04|English, Spanish
12|Elizabeth Russo|71594 Gonzalez Highway Apt. 053|Redmond|98052|588.403.3183x6113|elizabethrusso@cobuilderav.com|System Designer|2018-10-30|151.68|227.52|"First Aid/CPR|CEDIA Certified|Vantage Lighting Certified|Low Voltage License"|2021-10-30|English, Spanish
13|Andrew Wells|152 Daniels Flat|Seattle|98112|3489625152|andrewwells@cobuilderav.com|System Designer|2019-09-24|100.41|150.62|"KNX Certified|Vantage Lighting Certified|Crestron Certified Programmer|InfoComm CTS"|2021-09-24|English
14|Jennifer Decker|3780 William Way|Mercer Island|98040|356-973-4467|jenniferdecker@cobuilderav.com|Audio/Video Engineer|2016-08-19|126.59|189.88|"InfoComm CTS|KNX Certified|CEDIA Certified|Electrical Administrator"|2017-08-19|English
15|James Martin|143 Lisa Dale Suite 664|Mercer Island|98040|909-599-9001x08985|jamesmartin@cobuilderav.com|System Designer|2023-07-07|106.77|160.16|"RTI Certified|First Aid/CPR|Lutron Certified Installer|OSHA Safety"|2024-07-07|English, Spanish
16|Kim Young|11896 Conway Extension Suite 648|Bellevue|98006|001-784-499-7957x28575|kimyoung@cobuilderav.com|Project Manager|2023-02-03|82.09|123.14|"Elan Certified|First Aid/CPR|OSHA Safety|HAA Level II|Biamp Certified"|2026-02-03|English
17|Natalie Kirby|21797 Lori Hills|Sammamish|98074|383.697.1705x98445|nataliekirby@cobuilderav.com|Senior Programmer|2022-10-27|125.41|188.12|"Crestron Certified Programmer|OSHA Safety|Electrical Administrator|Sonos Certified Installer|Dante Level 3 Certified"|2025-10-27|English
18|Christine Crawford|681 Ian Forge|Bellevue|98006|+1-903-388-5681x1939|christinecrawfo@cobuilderav.com|Lead Technician|2021-01-10|93.11|139.66|Lutron Certified Installer|2024-01-10|English, Spanish
19|Thomas Ray|992 Sean Ports|Redmond|98052|5557286693|thomasray@cobuilderav.com|Security Integration Specialist|2021-03-10|98.6|147.9|"Sonos Certified Installer|Savant Certified Programmer|InfoComm CTS"|2024-03-10|English, Mandarin
20|Ronald Edwards|705 David Locks|Seattle|98199|4119939103|ronaldedwards@cobuilderav.com|Client Services Manager|2021-08-23|91.08|136.62|HAA Level II|2024-08-23|English, Mandarin
21|Matthew Edwards|60908 Mckenzie Union|Seattle|98004|581-904-5024|matthewedwards@cobuilderav.com|Executive|2018-12-22|114.2|171.3|"Control4 Gold Certified|Lutron Certified Installer|KNX Certified|AMX Certified|InfoComm CTS"|2019-12-22|English
22|Benjamin Cooper|66271 Hannah Pass Suite 933|Woodinville|98072|(939)500-5856x154|benjamincooper@cobuilderav.com|Network Engineer|2018-10-20|85.67|128.5|Electrical Administrator|2020-10-20|English, Spanish
23|George Cruz|97925 Clarke Crescent Apt. 643|Woodinville|98077|(890)828-3772x7028|georgecruz@cobuilderav.com|Lighting Control Specialist|2018-09-04|64.31|96.47|"Crestron Certified Programmer|OSHA Safety|InfoComm CTS|Vantage Lighting Certified|Control4 Gold Certified"|2020-09-04|English, Mandarin
24|Greg Wright|164 Jones Squares|Redmond|98052|+1-261-701-9753x58464|gregwright@cobuilderav.com|Network Engineer|2019-10-07|72.47|108.7|"First Aid/CPR|Savant Certified Programmer|Cisco Network Professional|Lutron Certified Installer"|2021-10-07|English, Spanish
25|Amanda Caldwell|73042 Barnes Manors|Sammamish|98074|(581)744-4718|amandacaldwell@cobuilderav.com|Network Engineer|2017-12-16|71.15|106.73|"OSHA Safety|Dante Level 3 Certified|HAA Level II|InfoComm CTS|Biamp Certified"|2021-12-16|English
26|Tammy Johnston|7649 Ashley Extensions|Mercer Island|98040|484.998.7455x13587|tammyjohnston@cobuilderav.com|Network Engineer|2016-06-04|111.48|167.22|"First Aid/CPR|RTI Certified|Crestron Certified Programmer|InfoComm CTS"|2020-06-04|English
27|Derek Gonzalez|811 Combs View Suite 034|Issaquah|98029|998.981.8738|derekgonzalez@cobuilderav.com|Project Engineer|2015-05-14|97.42|146.13|"InfoComm CTS|Control4 Gold Certified|Sonos Certified Installer|Electrical Administrator|Low Voltage License"|2017-05-14|English, Mandarin
28|Heather Hunt|64770 Davis Stravenue|Seattle|98112|2904915386|heatherhunt@cobuilderav.com|System Designer|2015-06-14|129.94|194.91|"Control4 Gold Certified|Biamp Certified|KNX Certified|Elan Certified"|2017-06-14|English, Mandarin
29|Jennifer Bailey|41231 Jennifer Knolls|Seattle|98112|372.504.4100x794|jenniferbailey@cobuilderav.com|Senior Programmer|2023-11-15|131.41|197.12|"Elan Certified|Low Voltage License|CEDIA Certified"|2025-11-15|English
30|Jacob Norman|97941 Douglas Harbor|Seattle|98039|+1-870-598-7264|jacobnorman@cobuilderav.com|Integration Specialist|2023-04-18|95.87|143.81|"Elan Certified|Sonos Certified Installer|RTI Certified"|2027-04-18|English
31|Jake Braun|24043 Robert Coves Apt. 034|Issaquah|98027|(486)216-3070x2867|jakebraun@cobuilderav.com|Security Integration Specialist|2020-05-24|66.76|100.14|First Aid/CPR|2023-05-24|English
32|Brittany Johnson|66219 Gonzalez Plains Apt. 057|Woodinville|98077|995.500.1732x5900|brittanyjohnson@cobuilderav.com|Lighting Control Specialist|2022-02-19|88.18|132.27|"Cisco Network Professional|Crestron Certified Programmer|Biamp Certified|InfoComm CTS"|2026-02-19|English
33|Ann Goodwin|722 Daniel Plains|Bellevue|98006|(790)687-1672x2104|anngoodwin@cobuilderav.com|Client Services Manager|2019-05-06|116.52|174.78|"Savant Certified Programmer|Cisco Network Professional|First Aid/CPR"|2021-05-06|English, Mandarin
34|Rebecca Lutz|281 Flowers Motorway|Issaquah|98029|443-360-2344x225|rebeccalutz@cobuilderav.com|Security Integration Specialist|2021-05-31|51.77|77.66|"AMX Certified|Savant Certified Programmer|RTI Certified|CEDIA Certified"|2024-05-31|English
35|Alexis Peterson|412 Brandy Inlet|Issaquah|98027|001-577-426-9032x6551|alexispeterson@cobuilderav.com|Client Services Manager|2021-06-20|126.22|189.33|"Cisco Network Professional|HAA Level II"|2022-06-20|English, Spanish
36|Blake Owens|802 Gould Views Suite 985|Seattle|98039|360-421-1915|blakeowens@cobuilderav.com|Network Engineer|2022-05-20|99.17|148.75|Control4 Gold Certified|2024-05-20|English, Mandarin
37|Kimberly Sullivan|986 Mendoza Meadow Suite 237|Redmond|98052|(300)388-4474x0837|kimberlysulliva@cobuilderav.com|Lead Technician|2021-08-09|61.64|92.46|"Electrical Administrator|Savant Certified Programmer|HAA Level II|Josh.ai Certified|OSHA Safety"|2022-08-09|English
38|Katherine Harvey|64006 Phillip Stream|Seattle|98112|+1-423-353-4848x6470|katherineharvey@cobuilderav.com|Lighting Control Specialist|2017-11-19|71.13|106.69|"CEDIA Certified|InfoComm CTS|Josh.ai Certified|OSHA Safety"|2018-11-19|English
39|Vincent Ortiz|2202 Whitney Flats Suite 205|Seattle|98112|903-530-0008x86346|vincentortiz@cobuilderav.com|Security Integration Specialist|2023-08-13|57.82|86.73|"RTI Certified|AMX Certified"|2024-08-13|English, Mandarin
40|Lisa Smith|41600 Patrick Terrace|Seattle|98039|001-823-227-3798x9790|lisasmith@cobuilderav.com|Audio/Video Engineer|2018-08-25|110.79|166.19|Cisco Network Professional|2020-08-25|English
41|Morgan Evans|674 Sanchez Causeway|Seattle|98112|3995843361|morganevans@cobuilderav.com|Senior Programmer|2017-11-22|91.74|137.61|"Crestron Certified Programmer|First Aid/CPR|Josh.ai Certified"|2021-11-22|English
42|Angela Davis|1985 Rivera Divide|Bellevue|98004|001-894-820-3401x53534|angeladavis@cobuilderav.com|Lead Technician|2019-04-27|61.36|92.04|"Dante Level 3 Certified|Vantage Lighting Certified|Low Voltage License|InfoComm CTS|HAA Level II"|2020-04-27|English
43|Frank Harding|9466 Hernandez Center Apt. 082|Seattle|98039|602-281-8223x879|frankharding@cobuilderav.com|Lighting Control Specialist|2022-02-07|72.51|108.77|"Savant Certified Programmer|Low Voltage License|CEDIA Certified|First Aid/CPR"|2024-02-07|English, Mandarin
44|Steven Taylor|174 Conway Mountain Apt. 536|Bellevue|98004|423-757-0041x2918|steventaylor@cobuilderav.com|Security Integration Specialist|2023-07-23|97.19|145.78|Vantage Lighting Certified|2025-07-23|English
45|Brian Barnes|255 Justin Way|Issaquah|98029|(210)307-9230x4660|brianbarnes@cobuilderav.com|Network Engineer|2023-10-09|71.54|107.31|"Sonos Certified Installer|Crestron Certified Programmer|KNX Certified|HAA Level II|RTI Certified"|2025-10-09|English
46|David Thomas|12329 Jones Corners|Sammamish|98074|(704)585-0766|davidthomas@cobuilderav.com|Security Integration Specialist|2021-12-17|71.86|107.79|Electrical Administrator|2024-12-17|English, Spanish
47|Patricia Cross|6042 Tiffany Manor Apt. 460|Issaquah|98027|691-953-0573|patriciacross@cobuilderav.com|Integration Specialist|2018-12-10|52.48|78.72|"AMX Certified|Cisco Network Professional|Biamp Certified|OSHA Safety"|2020-12-10|English, Mandarin
48|Debbie Bailey|76822 Sherman Summit Apt. 726|Seattle|98112|908.866.6562x241|debbiebailey@cobuilderav.com|Integration Specialist|2022-10-31|57.49|86.23|"Dante Level 3 Certified|Savant Certified Programmer|Elan Certified|Cisco Network Professional|OSHA Safety"|2023-10-31|English, Mandarin
49|Jessica Chase|477 Eileen Prairie Apt. 350|Bellevue|98004|4614848974|jessicachase@cobuilderav.com|Audio/Video Engineer|2017-10-04|79.92|119.88|"Josh.ai Certified|Biamp Certified|AMX Certified|Electrical Administrator|Dante Level 3 Certified"|2020-10-04|English, Spanish
50|Sean Cain|46682 Edward Junction Suite 495|Seattle|98039|(354)392-0644|seancain@cobuilderav.com|Network Engineer|2021-10-29|129.29|193.94|"CEDIA Certified|Crestron Certified Programmer|Biamp Certified"|2025-10-29|English
51|Michael Snyder|818 Steven Alley|Mercer Island|98040|+1-663-843-5948x82188|michaelsnyder@cobuilderav.com|Client Services Manager|2021-01-15|92.27|138.41|"Low Voltage License|OSHA Safety|HAA Level II|Savant Certified Programmer|Dante Level 3 Certified"|2022-01-15|English
52|Wendy Sullivan|1102 Eugene Wells|Seattle|98112|(843)241-2301x604|wendysullivan@cobuilderav.com|Client Services Manager|2023-08-12|87.86|131.79|"Cisco Network Professional|KNX Certified|OSHA Safety|RTI Certified"|2024-08-12|English
53|Cynthia Thomas|03203 Brooke Plaza Apt. 114|Seattle|98119|3039471317|cynthiathomas@cobuilderav.com|Lighting Control Specialist|2022-08-19|95.84|143.76|"CEDIA Certified|Vantage Lighting Certified|Biamp Certified|AMX Certified"|2025-08-19|English
54|Kristen Williams|625 Jennifer Green|Bellevue|98004|394-578-5501|kristenwilliams@cobuilderav.com|Project Manager|2019-01-26|132.02|198.03|"Vantage Lighting Certified|Low Voltage License"|2020-01-26|English
55|Gina Morgan|107 Angela Springs|Seattle|98112|380.872.7903x716|ginamorgan@cobuilderav.com|Executive|2022-02-28|139.21|208.81|"CEDIA Certified|Sonos Certified Installer"|2026-02-28|English, Mandarin
56|Michael Rodriguez|23996 Castillo Trail Apt. 837|Seattle|98004|730-976-8102x48085|michaelrodrigue@cobuilderav.com|Project Manager|2022-05-26|121.03|181.55|"HAA Level II|Sonos Certified Installer"|2024-05-26|English, Spanish
57|Kathryn Smith|432 Nancy Ferry Apt. 169|Seattle|98119|9692685746|kathrynsmith@cobuilderav.com|Executive|2023-03-05|82.72|124.08|"Dante Level 3 Certified|Vantage Lighting Certified|InfoComm CTS"|2026-03-05|English
58|Jeremy Fleming|9139 Terry Wells|Bellevue|98004|(315)201-6426|jeremyfleming@cobuilderav.com|Executive|2022-03-10|136.64|204.96|"AMX Certified|HAA Level II|Electrical Administrator|CEDIA Certified|First Aid/CPR"|2023-03-10|English
59|Mr. Craig Williams|43198 Becky Heights Suite 813|Seattle|98004|5042169105|mrcraigwilliams@cobuilderav.com|Audio/Video Engineer|2023-02-02|84.09|126.14|"Electrical Administrator|Low Voltage License|KNX Certified|InfoComm CTS|Lutron Certified Installer"|2025-02-02|English, Mandarin
60|Jacob Jones|586 Powell Underpass Apt. 395|Issaquah|98027|648.911.0501|jacobjones@cobuilderav.com|Audio/Video Engineer|2018-10-02|101.14|151.71|"CEDIA Certified|OSHA Safety|Sonos Certified Installer"|2019-10-02|English
61|Randy Moore|57385 Garner Way Apt. 281|Seattle|98004|775.712.3959x781|randymoore@cobuilderav.com|Executive|2018-09-10|96.86|145.29|"Savant Certified Programmer|Vantage Lighting Certified|Sonos Certified Installer|RTI Certified"|2021-09-10|English
62|James Mcmillan|972 Jessica Brook|Bellevue|98004|(444)265-4677|jamesmcmillan@cobuilderav.com|Integration Specialist|2023-12-10|73.26|109.89|Dante Level 3 Certified|2026-12-10|English, Spanish
63|Jeremy Johnson|87156 Fischer Orchard|Seattle|98004|+1-537-203-1754|jeremyjohnson@cobuilderav.com|System Designer|2023-11-27|118.67|178.0|"Lutron Certified Installer|Josh.ai Certified|InfoComm CTS"|2025-11-27|English
64|Stacy Phillips|8572 Williams Port|Seattle|98112|(654)268-6272|stacyphillips@cobuilderav.com|System Designer|2018-07-07|132.03|198.05|"Control4 Gold Certified|Savant Certified Programmer|Lutron Certified Installer|Dante Level 3 Certified|OSHA Safety"|2019-07-07|English
65|Jeffrey Taylor|632 Dougherty Wall Apt. 538|Bellevue|98004|(276)825-9238x6879|jeffreytaylor@cobuilderav.com|Network Engineer|2021-04-09|69.62|104.43|"Biamp Certified|First Aid/CPR|Savant Certified Programmer|Control4 Gold Certified|Lutron Certified Installer"|2022-04-09|English
66|Melissa Salinas|320 Deleon Tunnel Apt. 405|Kirkland|98034|7899273961|melissasalinas@cobuilderav.com|Audio/Video Engineer|2019-04-22|72.32|108.48|"Vantage Lighting Certified|Cisco Network Professional|CEDIA Certified|Electrical Administrator"|2023-04-22|English
67|David Smith|567 Jillian Parkway|Issaquah|98027|+1-677-455-4261x903|davidsmith@cobuilderav.com|Lighting Control Specialist|2020-10-19|81.72|122.58|Electrical Administrator|2023-10-19|English, Spanish
68|Karen Dalton|3202 Sherry Drive|Kirkland|98034|411.217.5769x1716|karendalton@cobuilderav.com|System Designer|2017-11-15|86.04|129.06|"Savant Certified Programmer|Dante Level 3 Certified|Sonos Certified Installer|Crestron Certified Programmer|InfoComm CTS"|2020-11-15|English
69|Brooke Ware|44869 Antonio Extensions Apt. 690|Seattle|98004|292.320.2698|brookeware@cobuilderav.com|Executive|2023-12-09|131.63|197.44|"Vantage Lighting Certified|Crestron Certified Programmer"|2024-12-09|English, Spanish
70|Stephanie Lopez MD|06801 Marshall Trace Apt. 316|Bellevue|98004|570.450.0493|stephanielopezm@cobuilderav.com|Senior Programmer|2016-08-26|104.58|156.87|"Biamp Certified|KNX Certified|Elan Certified|HAA Level II|Crestron Certified Programmer"|2020-08-26|English, Mandarin
71|Jimmy King|9317 Anna Tunnel Suite 638|Seattle|98004|4837906540|jimmyking@cobuilderav.com|Senior Programmer|2021-07-30|90.34|135.51|InfoComm CTS|2023-07-30|English, Spanish
72|Lisa Hatfield|93932 Haynes Trace Suite 281|Seattle|98004|(891)263-5049|lisahatfield@cobuilderav.com|Security Integration Specialist|2022-03-08|90.05|135.07|"Lutron Certified Installer|First Aid/CPR|KNX Certified|Sonos Certified Installer|HAA Level II"|2024-03-08|English, Mandarin
73|Jeffrey Barnes|527 Angela Hollow Suite 397|Kirkland|98034|899-950-7088x640|jeffreybarnes@cobuilderav.com|Lead Technician|2021-11-28|82.56|123.84|"Cisco Network Professional|Josh.ai Certified|Dante Level 3 Certified|Biamp Certified"|2024-11-28|English, Mandarin
74|Nicole Mathis MD|019 Brooke Expressway|Sammamish|98074|(215)543-9044|nicolemathismd@cobuilderav.com|Project Engineer|2017-06-17|54.69|82.03|Low Voltage License|2018-06-17|English, Spanish
75|Christopher Krueger|20235 Billy Valleys|Seattle|98105|(855)601-9354x503|christopherkrue@cobuilderav.com|Executive|2017-04-20|97.26|145.89|"Sonos Certified Installer|Vantage Lighting Certified|Low Voltage License|Josh.ai Certified|OSHA Safety"|2021-04-20|English
76|Christine Lee|24362 Anderson Valleys|Kirkland|98033|+1-605-398-3124|christinelee@cobuilderav.com|Lighting Control Specialist|2016-08-06|49.99|74.98|"CEDIA Certified|HAA Level II|Control4 Gold Certified"|2019-08-06|English, Spanish
77|Kevin Wallace|659 Stephanie Crest Apt. 376|Seattle|98105|317.274.9542|kevinwallace@cobuilderav.com|Client Services Manager|2017-03-21|128.54|192.81|"Lutron Certified Installer|CEDIA Certified|Sonos Certified Installer"|2020-03-21|English, Spanish
78|Kurt Camacho|375 Brenda Falls|Seattle|98105|(771)431-7536x2647|kurtcamacho@cobuilderav.com|Senior Programmer|2017-03-13|113.44|170.16|"HAA Level II|Vantage Lighting Certified|RTI Certified"|2018-03-13|English, Mandarin
79|Katie Hardin|1209 Martinez Valleys Apt. 009|Bellevue|98004|001-428-345-2403|katiehardin@cobuilderav.com|System Designer|2018-10-18|78.85|118.27|"OSHA Safety|Control4 Gold Certified"|2020-10-18|English
80|Michael Dalton|51432 Bonnie Cove Suite 308|Seattle|98112|479.372.4792x542|michaeldalton@cobuilderav.com|Lead Technician|2022-12-22|67.8|101.7|"RTI Certified|InfoComm CTS|First Aid/CPR"|2023-12-22|English, Spanish
81|Cynthia Cardenas|819 Jill Avenue Suite 877|Bellevue|98004|8677693332|cynthiacardenas@cobuilderav.com|Project Engineer|2022-10-15|88.85|133.27|"HAA Level II|OSHA Safety"|2025-10-15|English
82|Shane Bender|7846 Brown Pike|Issaquah|98029|285-688-3825x67262|shanebender@cobuilderav.com|Client Services Manager|2021-08-02|98.52|147.78|Cisco Network Professional|2023-08-02|English, Mandarin
83|Calvin Silva|4355 Kristi Lock|Seattle|98112|(482)722-5018|calvinsilva@cobuilderav.com|Project Engineer|2023-12-03|65.72|98.58|Biamp Certified|2026-12-03|English
84|Mary Reid|7286 Brianna Glen|Redmond|98052|(401)222-3414|maryreid@cobuilderav.com|Lead Technician|2019-05-09|85.5|128.25|"Cisco Network Professional|Savant Certified Programmer|RTI Certified|InfoComm CTS"|2022-05-09|English
85|Lisa Rios|70266 Jose Village Suite 095|Issaquah|98027|(532)517-4003x91019|lisarios@cobuilderav.com|Project Engineer|2020-04-24|65.43|98.15|"InfoComm CTS|Low Voltage License|Cisco Network Professional"|2023-04-24|English
86|Curtis Harvey|47119 Patrick Avenue|Bellevue|98006|001-806-308-2770x564|curtisharvey@cobuilderav.com|Client Services Manager|2020-01-26|158.06|237.09|"Biamp Certified|Lutron Certified Installer|Sonos Certified Installer|Vantage Lighting Certified|Dante Level 3 Certified"|2022-01-26|English, Spanish
87|Nicole Guerra|6264 Jeanne Station|Seattle|98112|(900)895-3723x461|nicoleguerra@cobuilderav.com|Senior Programmer|2021-03-05|94.05|141.07|"Dante Level 3 Certified|RTI Certified|KNX Certified|AMX Certified"|2022-03-05|English
88|Shannon Nunez|61094 Marquez Mews|Kirkland|98034|923-816-5441x3727|shannonnunez@cobuilderav.com|Senior Programmer|2020-03-20|95.34|143.01|"Vantage Lighting Certified|Dante Level 3 Certified|Lutron Certified Installer"|2023-03-20|English
89|Karen Fisher|3494 Cindy Cape|Seattle|98105|961-575-5188x701|karenfisher@cobuilderav.com|Network Engineer|2019-04-16|94.55|141.82|"Low Voltage License|Josh.ai Certified|AMX Certified"|2020-04-16|English
90|Michael Williams|8374 Ingram Club|Redmond|98052|001-272-434-5653x86947|michaelwilliams@cobuilderav.com|Lead Technician|2015-12-04|62.65|93.97|KNX Certified|2018-12-04|English
91|Edward Herrera|2689 Juan Mountain|Seattle|98004|(738)564-1009|edwardherrera@cobuilderav.com|Senior Programmer|2015-10-20|127.16|190.74|Control4 Gold Certified|2018-10-20|English, Spanish
92|Gabrielle Blackwell|421 Barber Freeway Suite 990|Woodinville|98077|6939781460|gabrielleblackw@cobuilderav.com|Lighting Control Specialist|2017-02-19|59.23|88.84|"AMX Certified|Elan Certified|Biamp Certified"|2019-02-19|English, Mandarin
93|Madison Mclaughlin|78844 Stephen Locks Suite 187|Redmond|98052|+1-656-346-7263x6815|madisonmclaughl@cobuilderav.com|Integration Specialist|2021-07-03|87.62|131.43|"KNX Certified|OSHA Safety|Cisco Network Professional"|2022-07-03|English, Spanish
94|Rose Francis|27729 Alex Path|Woodinville|98072|750-278-6043x5660|rosefrancis@cobuilderav.com|Audio/Video Engineer|2020-10-13|81.02|121.53|"Low Voltage License|Vantage Lighting Certified"|2024-10-13|English
95|David Adams|833 Randy Rue Suite 306|Kirkland|98033|218.922.2667x9419|davidadams@cobuilderav.com|Lighting Control Specialist|2017-05-08|88.7|133.05|"Sonos Certified Installer|First Aid/CPR|Cisco Network Professional"|2021-05-08|English
96|Katie Murphy|906 Walton Ports Suite 342|Bellevue|98004|001-489-487-6055x049|katiemurphy@cobuilderav.com|Lighting Control Specialist|2020-08-09|56.38|84.57|"Elan Certified|CEDIA Certified"|2023-08-09|English, Spanish
97|Melissa Brown|186 Johnson Lock Apt. 201|Seattle|98112|(429)907-3992x8919|melissabrown@cobuilderav.com|Audio/Video Engineer|2021-05-13|94.1|141.15|"HAA Level II|Elan Certified|Josh.ai Certified|CEDIA Certified"|2022-05-13|English, Spanish
98|Christian Park|71708 Short Inlet|Issaquah|98029|+1-342-569-4203x983|christianpark@cobuilderav.com|Lighting Control Specialist|2019-05-20|77.63|116.44|"Cisco Network Professional|Dante Level 3 Certified|OSHA Safety|Biamp Certified|Sonos Certified Installer"|2020-05-20|English
99|Elizabeth Mayo|45996 Johnson Light|Seattle|98112|+1-421-695-8730x549|elizabethmayo@cobuilderav.com|Lead Technician|2016-01-17|73.0|109.5|"Dante Level 3 Certified|Electrical Administrator|Elan Certified"|2018-01-17|English, Spanish
100|Thomas Newton|302 Steven Plain Apt. 678|Seattle|98119|2663431589|thomasnewton@cobuilderav.com|Integration Specialist|2019-04-30|90.41|135.62|"Low Voltage License|CEDIA Certified|RTI Certified|Sonos Certified Installer|Savant Certified Programmer"|2022-04-30|English, Spanish
101|Samuel Khan|815 James Mission|Redmond|98052|001-201-370-9264x07030|samuelkhan@cobuilderav.com|Senior Programmer|2015-08-24|109.53|164.3|Electrical Administrator|2018-08-24|English
102|James Rice|244 Goodwin Burgs Apt. 728|Redmond|98052|395.892.7411x68069|jamesrice@cobuilderav.com|Project Engineer|2021-01-06|65.68|98.52|"OSHA Safety|RTI Certified|Control4 Gold Certified|Crestron Certified Programmer"|2025-01-06|English
103|Carolyn Kennedy|08082 John Crest Suite 026|Mercer Island|98040|644.743.5962|carolynkennedy@cobuilderav.com|Audio/Video Engineer|2018-06-22|129.04|193.56|"Crestron Certified Programmer|Sonos Certified Installer"|2022-06-22|English
104|Miss Sheri Yoder MD|424 Diane Landing|Bellevue|98004|769.509.1237|misssheriyoderm@cobuilderav.com|Project Engineer|2023-01-14|79.38|119.07|"Dante Level 3 Certified|Sonos Certified Installer|InfoComm CTS"|2027-01-14|English, Spanish
105|Juan Adams|0396 Smith Throughway Suite 365|Kirkland|98033|(340)955-3648|juanadams@cobuilderav.com|Integration Specialist|2018-09-09|98.56|147.84|"Savant Certified Programmer|OSHA Safety|Vantage Lighting Certified|InfoComm CTS"|2022-09-09|English
106|Peggy Ramirez|64882 Michael Stravenue|Bellevue|98006|001-477-538-5466|peggyramirez@cobuilderav.com|Project Manager|2022-04-01|80.44|120.66|Elan Certified|2026-04-01|English, Mandarin
107|Crystal Johnson|9986 Richards Curve Suite 949|Kirkland|98033|422.204.2986x2269|crystaljohnson@cobuilderav.com|Audio/Video Engineer|2017-01-05|106.46|159.69|"First Aid/CPR|Vantage Lighting Certified"|2021-01-05|English
108|James Levy|35699 Brianna Street Apt. 358|Mercer Island|98040|001-676-388-7779x2560|jameslevy@cobuilderav.com|Client Services Manager|2018-01-26|93.14|139.71|"Control4 Gold Certified|OSHA Safety|Lutron Certified Installer|Vantage Lighting Certified|RTI Certified"|2021-01-26|English
109|Joseph Williams|315 Carrie Summit Apt. 912|Bellevue|98006|(960)800-1440|josephwilliams@cobuilderav.com|Executive|2023-07-18|140.94|211.41|"Low Voltage License|First Aid/CPR"|2024-07-18|English
110|Luis Burgess|3049 Jeff Crest|Redmond|98052|4382975287|luisburgess@cobuilderav.com|System Designer|2017-11-01|121.39|182.09|"First Aid/CPR|Electrical Administrator|RTI Certified"|2019-11-01|English
111|Kimberly Newman|2240 Oliver Station Apt. 082|Seattle|98039|353.609.7669|kimberlynewman@cobuilderav.com|Network Engineer|2019-06-13|67.76|101.64|"OSHA Safety|Josh.ai Certified|Biamp Certified|Sonos Certified Installer"|2020-06-13|English, Mandarin
112|Lisa Martinez|568 Natasha Corner|Seattle|98004|953.407.9661x8695|lisamartinez@cobuilderav.com|System Designer|2020-06-08|139.4|209.1|"Josh.ai Certified|Electrical Administrator"|2024-06-08|English
